r_id,t_id,l_id,City,Rating,Review
3190647,24132,282,Agartala,5,Nice park in khowai dist of Tripura. You can cover this park easily in about 02 hours. Entry fee Rs 10 only. Some sitting arrangement are there but huge improvement is required for making it more attracting. One wooden bridge after the main entry gate...
7990656,10677,282,Agartala,5,"One of the good places to visit in town on a stress free day, had nice and beautiful ambience with holiness in the air."
6356277,53783,282,Agartala,4,In the heart of the city this Hindu temple is very famous and very crowded as well. Mornings and evenings lot of people can be seen inside the temple praying.
5473662,42928,282,Agartala,4,"You will only see a temple Nothing else to watch or visit. But during the time of June (Bengali Ashar month) a huge Mela is organised near the temple, which lasts for 7 days. I personally would recommend you to visit it during that time."
6789652,33564,282,Agartala,4,"14 goddess temple is is one of the tourist and religious place in Tripura. Every year in the month of Ashar /  July seven days grand festival takes place, then all 14 goddess are taken out for public visit."
3201968,24132,181,Agra,5,"I bought in this shop some souvenirs in marble and they shipped to me 'my' wonderful marble plate, carved and decorated with colorful stones. I was so excited when I received the package at my house and you can see how beautiful and precious it..."
1456074,53783,181,Agra,5,"I purchased a beautiful marble chess table and a magnificent heritage small table with matching inlaid marble coasters in September during my recent trip to India.
My purchases both arrived right on time, in perfect condition in Sydney Australia and will become family heirlooms for..."
2578136,33564,181,Agra,4,"Thank you very much to all team. I have receibed our products on time and with good packaging. It arrives to us without any damage. Also, they trace it up to product arrive to us.
Thank you"
8052255,10677,181,Agra,4,Thank you sir for your kind feedback
2489862,42928,181,Agra,4,This is one of the very good art gallery we visited. here you can find lot of the things which you can't find in other art galleries.
7548834,24132,66,Ahmedabad,3,So i came to this place after seeing the advertisement of Gujarat Tourism. This place truely gives a sense of history and ancient architecture. Words cant describe but you should definetely visit this place.
4192212,24132,66,Ahmedabad,3,"Hundreds of years ago, step-wells were fundamental to life in the driest parts of India. These structures, hewn from stone, provided year-round access to groundwater, and were a focal point for the community. A step-well comprises a series of steps descending from ground level to..."
9161117,24132,66,Ahmedabad,1,this is the worst place i have ever been to. would not recommend it to anyone.it was stinking badly.
1354336,24132,66,Ahmedabad,3,"The well was made by a king in memory of his wife. The well is decent for clicking snaps, however nothing much to see or to write about. Can visit if onroute, otherwise skipable."
7569895,24132,66,Ahmedabad,4,"It is really something you do not have to forget. It is a very nice place with magnificent curving stones that shock all your mind . Not very easy to get because is little far from the city, for me when local people brought me..."
8942814,24132,135,Ajanta,3,"Since we were children half a century ago, we had seen pictures of the prince and princesses, elephants and the caves. But a chance meeting enabled us to visit them. The road from aurangabad was back wrenching, doubly long, non existent, can't call it a..."
6242856,10677,135,Ajanta,3,"Thousands of sculptors and painters came together over centuries, passed on their knowledge and skill to the next generation and made possible this world class art heritage. I wonder why we can't achieve a similar feat with all the modern technologies at our fingertips. 

We..."
4507088,53783,135,Ajanta,5,One of the most serene and beautiful caves. The peacefullness of this place rich with past artefact is mesmerizing.
7251135,42928,135,Ajanta,4,"Ajanta caves are really better than Ellora caves.
They are clean , works are in progress, no disgusting smells and not so enormous and on top of this there is paintings !
Only one thing to be considered in general is the state of the..."
9041591,33564,135,Ajanta,5,"Ajanta caves – I don’t think any words or pictures can describe them. One has to experience Ajanta to understand and celebrate the human achievement that is engraved in these rocks. Ajanta are technically not caves, these are temples and monasteries created by hand, by..."
9222407,24132,84,Ajmer,5,"Architecture always attracts me. This is a nice place to visit,  and the architecture is a interesting. If you have time do visit this place with kids"
7022072,10677,84,Ajmer,4,A very sacred place in rajasthan ...  a good place to visit ... cow meat was available which is literally not tolerable ...
2225540,53783,84,Ajmer,5,it is a mosque in ajmer and very near to sharif dargah ..here u can see lots of foreigner and it is very beautifully constructed by aibak ..we spend here 2 hr and i feel happy bcoz i luv historical place
2244177,42928,84,Ajmer,5,"The most amazing place heritage to visit so many pillar creat in two and half days  this amazing to see this beautiful place ,
That call Adhai din ka jhonpra"
2034194,33564,84,Ajmer,3,It is a historical place in ajmer it is near to dargah sharif only 1 or 2 km from ajmer dargah sharif..
3312428,24132,83,Pushkar,5,Rich collection of art which is rare to see now a days with good presentation. Good to visit atleast once
3678813,10677,83,Pushkar,3,`All the arts are available at cheap rates at this place. People can just visit this place for timepass.
3138514,53783,83,Pushkar,5,Ambica art was great and loving art collection at reasonable price. Local art reflected here. Took small visit to take shots of local culture.
5266869,42928,83,Pushkar,5,Ambica arts it is a g greeted and loving the art of this place you will like it all the way in the kitni
5027780,33564,83,Pushkar,4,"During the months of October – November. This is time when the famous Pushkar Camel Fair comes to town, and also the weather is nicer during these months.
ost had only a few worshippers, despite beautiful four faced lingams. However, there was one that had..."
