City,Rating,Raw_Review
Agartala,5,Nice park in khowai dist of Tripura. You can cover this park easily in about 02 hours. Entry fee Rs 10 only. Some sitting arrangement are there but huge improvement is required for making it more attracting. One wooden bridge after the main entry gate...
Agartala,5,"One of the good places to visit in town on a stress free day, had nice and beautiful ambience with holiness in the air."
Agartala,4,In the heart of the city this Hindu temple is very famous and very crowded as well. Mornings and evenings lot of people can be seen inside the temple praying.
Agartala,4,"You will only see a temple Nothing else to watch or visit. But during the time of June (Bengali Ashar month) a huge Mela is organised near the temple, which lasts for 7 days. I personally would recommend you to visit it during that time."
Agartala,4,"14 goddess temple is is one of the tourist and religious place in Tripura. Every year in the month of Ashar /  July seven days grand festival takes place, then all 14 goddess are taken out for public visit."
Agra,5,"I bought in this shop some souvenirs in marble and they shipped to me 'my' wonderful marble plate, carved and decorated with colorful stones. I was so excited when I received the package at my house and you can see how beautiful and precious it..."
Agra,5,"I purchased a beautiful marble chess table and a magnificent heritage small table with matching inlaid marble coasters in September during my recent trip to India.
My purchases both arrived right on time, in perfect condition in Sydney Australia and will become family heirlooms for..."
Agra,4,"Thank you very much to all team. I have receibed our products on time and with good packaging. It arrives to us without any damage. Also, they trace it up to product arrive to us.
Thank you"
Agra,4,Thank you sir for your kind feedback
Agra,4,This is one of the very good art gallery we visited. here you can find lot of the things which you can't find in other art galleries.
Ahmedabad,3,So i came to this place after seeing the advertisement of Gujarat Tourism. This place truely gives a sense of history and ancient architecture. Words cant describe but you should definetely visit this place.
Ahmedabad,3,"Hundreds of years ago, step-wells were fundamental to life in the driest parts of India. These structures, hewn from stone, provided year-round access to groundwater, and were a focal point for the community. A step-well comprises a series of steps descending from ground level to..."
Ahmedabad,1,this is the worst place i have ever been to. would not recommend it to anyone.it was stinking badly.
Ahmedabad,3,"The well was made by a king in memory of his wife. The well is decent for clicking snaps, however nothing much to see or to write about. Can visit if onroute, otherwise skipable."
Ahmedabad,4,"It is really something you do not have to forget. It is a very nice place with magnificent curving stones that shock all your mind . Not very easy to get because is little far from the city, for me when local people brought me..."
Ajanta,3,"Since we were children half a century ago, we had seen pictures of the prince and princesses, elephants and the caves. But a chance meeting enabled us to visit them. The road from aurangabad was back wrenching, doubly long, non existent, can't call it a..."
Ajanta,3,"Thousands of sculptors and painters came together over centuries, passed on their knowledge and skill to the next generation and made possible this world class art heritage. I wonder why we can't achieve a similar feat with all the modern technologies at our fingertips. 

We..."
Ajanta,5,One of the most serene and beautiful caves. The peacefullness of this place rich with past artefact is mesmerizing.
Ajanta,4,"Ajanta caves are really better than Ellora caves.
They are clean , works are in progress, no disgusting smells and not so enormous and on top of this there is paintings !
Only one thing to be considered in general is the state of the..."
Ajanta,5,"Ajanta caves – I don’t think any words or pictures can describe them. One has to experience Ajanta to understand and celebrate the human achievement that is engraved in these rocks. Ajanta are technically not caves, these are temples and monasteries created by hand, by..."
Ajmer,5,"Architecture always attracts me. This is a nice place to visit,  and the architecture is a interesting. If you have time do visit this place with kids"
Ajmer,4,A very sacred place in rajasthan ...  a good place to visit ... cow meat was available which is literally not tolerable ...
Ajmer,5,it is a mosque in ajmer and very near to sharif dargah ..here u can see lots of foreigner and it is very beautifully constructed by aibak ..we spend here 2 hr and i feel happy bcoz i luv historical place
Ajmer,5,"The most amazing place heritage to visit so many pillar creat in two and half days  this amazing to see this beautiful place ,
That call Adhai din ka jhonpra"
Ajmer,3,It is a historical place in ajmer it is near to dargah sharif only 1 or 2 km from ajmer dargah sharif..
Pushkar,5,Rich collection of art which is rare to see now a days with good presentation. Good to visit atleast once
Pushkar,3,`All the arts are available at cheap rates at this place. People can just visit this place for timepass.
Pushkar,5,Ambica art was great and loving art collection at reasonable price. Local art reflected here. Took small visit to take shots of local culture.
Pushkar,5,Ambica arts it is a g greeted and loving the art of this place you will like it all the way in the kitni
Pushkar,4,"During the months of October – November. This is time when the famous Pushkar Camel Fair comes to town, and also the weather is nicer during these months.
ost had only a few worshippers, despite beautiful four faced lingams. However, there was one that had..."
Kolkata,5,Savitri ji temple is located at a great height . There are 2 ways to get there steps or roapway . The steps are very steep and the roapway is a better method but not for the weak hearted . The temple is good and...
Kolkata,5,"Thank you for your feedback. We wish to welcoming you again.
Kindly also share your experience with your friends and family."
Kolkata,4,Rope way is good option if you not going to via stairwe see whole pushkar from the top of savitri temple and rope way charge a 92 rupees for both way per person.
Kolkata,5,"Thank you for your feedback. We wish to welcoming you again.
Kindly also share your experience with your friends and family."
Kolkata,5,"One of the hidden attractions of this area,80 rupees up to the best view of Pushkar,don't miss,there is a temple at the top,but the 360 degree views are stunning."
Alappuzha,3,Stroll along the beach in the evening with the locals. Travel by the local auto about 50 rupees and above depends where you stay.But ask the price first.
Alappuzha,5,Good beach but do not plan your month of visit during Monsoon as water appears black during these days. Rest everything else is great
Alappuzha,4,"This is an extensive beach, relatively clean, there are a few cafes in the centre, but if you walk to either end of the beech there is nothing at all so take water with you. We visited in May and the waves were quite high..."
Alappuzha,3,"Not a nice beach to visit, very hot and humid climate with burning waste every 5 minutes. Hardly any beach shack to have breakfast in."
Alappuzha,4,Very good place. Sun rice and sun set point available here we will see that at morning and evening time.
Alibaug,2,I would call this as average place. Not many options to stay and dine around. Hardly any water sport available at the beach. The water was polluted & black in color when we visited. However that was temporary. The natives told us that normally water...
Alibaug,4,"Akshi beach is extended part of Nagaon beach on the north side. Beach is less visited hence less crowded and clean. You can see Alibag beach, Kolaba fort from Akshi beach. On the north end, a lot of fishing boats are available. A Good place..."
Alibaug,4,"This is a very lonely beach, no water sports and food sport available, if you don't want water  sports then it is a good and very safe beach near by Alibag."
Alibaug,5,"I have been to this beach many times ... It's beautiful and peacelul if u visit this beach in weekdays as during weekends many people makes it crouded ...
Weekdays afternoon one can visit this place during high tide and can enjoy the peacelul winds..."
Alibaug,4,Akshi Beach is situated in Alibagh Maharashtra India. it is very good and clean beach. it is very close to Nagaon
Aligarh,5,I had always seen it from outside but always feel blessed to b there. It's having  majestic view when in the night it have flash lights on it. Specially recommended to visit in evening for beautiful view.
Aligarh,3,The jama masjid of aligarh is the largest mosque of the city and situated at highest point in aligarh.
Aligarh,4,good example of muslims architecture. peaceful. well maintained.must be visited by all visitors to Aligarh.
Aligarh,5,"If you enjoy visiting masjids or have an interested in masjid architecture this is a must-visit masjid on Aligarh's campus. This is the first masjid I've seen with what appears to be stained glass decoration. Like Jama Masjid in Delhi, this is a wall masjid...."
Aligarh,5,Good Fort but it is in a bad shape / crumbling as neither the tourism not archaeological ministries take care of the fort. Now has become a lover's spot
Allahabad,3,This tree situated within the fort has survived for centuries and resisted many attempts by Moghul rulers and armies for destruction. It is evergreen and flourishing even now. It is inside the fort which is under army control. It is only recently opened to the...
Allahabad,5,"Located inside the Allahabad Fort walking distance from Sangam Ghat. There was a long queue and it took us about two hours for visiting this place. There are army people to guide you the way. This was truly an amazing experience. Photography is prohibited, but..."
Allahabad,4,"we visited the army protected fort during our tour to sangam.The tree is inside the fort and is believed to be hundreds of years old, but all the leaves are still green."
Allahabad,5,"I went to Akshaya Vat. Located inside the Allahabad Fort complex in Patalpuri Temple, Akshaya Vat or Akshayvat is an ancient fig tree. Only on a single day during the Kumbh Mela festival, this sacred site is open for public visits. It is great place..."
Allahabad,3,This is an old Banyan tree situated in Allahabad Fort. Patalpuri Temple is also there. The tree is holy as per Hindu Mythology. You will find many people doing Puja there.
Almora,5,"Very close to the temple complex. Brilliantly maintained and guarded. Desolate, as expected. No entry fee. Very, very good collection of small figurines from 10th to 13th century. Not only the deities, look for the refinement and emotion in the faces of ordinary hill people.You..."
Almora,4,"about 20 mins from the jageshwar temple complex next to the parking area, this museum houses figurines and idols of gods and goddesses excavated from jageshwar. the three galleries is a treasure trove of those finds and is a must visit. the government has maintained..."
Almora,4,Make a quick stop for a lesson in history and get marveled looking at the gorgeous idols of 8th & 9th century on display.
Almora,5,Awesome collection and really great storage by the Archaeological team.. Worth visiting. Near the temple
Almora,4,"This Location is Appropriate location for the museum. Right beside the Temple Complex. Once we visit the temples; we can visit this museum on way back.
There are Ancient Idols Of Shiva and Parvati, Vishnu, Ganesh, Laxmi, Kartikeya and other Gods and goddesses. 
These original..."
Amarkantak,4,The temple is famous for 11 feet high Shiv Linga.. special feature of this place is 11feet high shivling.
Amarkantak,3,The temple is famous for 11 feet high Shiv Linga. It's still under construction. It is a representation of all 12 Jyotirlingas at one place.
